Data da Homologação;Número de Homologação;Nome do Solicitante;CNPJ do Solicitante;Certificado de Conformidade Técnica;Data do Certificado de Conformidade Técnica;Data de Validade do Certificado;Código de Situação do Certificado;Situação do Certificado;Código de Situação do Requerimento;Situação do Requerimento;Nome do Fabricante;Modelo;Nome Comercial;Categoria do Produto;Tipo do Produto;IC_ANTENA;IC_ATIVO;País do Fabricante;CodUIT;CodISO
2025-03-05;28782103257.0;HUAWEI DO BRASIL TELECOMUNICACOES LTDA;2975504000152;NCC 19320/21;27/02/2021;27/02/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Huawei Technologies Co. Ltd;RRU5336E WD5MLRMR2RJ0;RRU5336E;3;Transceptor para Estação Rádio Base;N;S;China;CHN;CHN
2025-03-05;43922205894.0;ERICSSON TELECOMUNICAÇÕES S.A.;33067745003908;NCC 23132/22;22/03/2022;22/03/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Ericsson AB;Mini-Link TRX3 B 7/8;;3;Transceptor Digital;N;S;Suécia;S;SWE
2025-03-05;43922205894.0;ERICSSON TELECOMUNICAÇÕES S.A.;33067745003908;NCC 23132/22;22/03/2022;22/03/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Ericsson AB;Mini-Link TRX2 7/8;;3;Transceptor Digital;N;S;Suécia;S;SWE
2025-03-05;149432214774.0;TCS Industria Metalurgica LTDA;1767833000145;NCC 23721/22;06/09/2022;13/09/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;NANJING XIADING ELECTRONIC TECHNOLOGY CO. LTD;BCI808;;2;Dispositivo de Operação Periódica;N;S;China;CHN;CHN
2025-03-05;182332215237.0;Soprano Indústria Eletrometalúrgica Eireli;88634977000705;OCP 80722;09/12/2022;08/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Hopepower Tecnology Co., Ltd.;06010.0002.92;;1;Carregador Indutivo para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;93842309714.0;W.M. LAUDISIO JUNIOR;17321582000100;PCN20230118100;04/05/2023;04/05/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Ruijie Networks Co., Ltd.;RG-S5760C-48GT4XS-HP-X;;3;Equipamento de Rede de Dados;N;S;China;CHN;CHN
2025-03-05;93842309714.0;W.M. LAUDISIO JUNIOR;17321582000100;PCN20230118100;04/05/2023;04/05/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Ruijie Networks Co., Ltd.;RG-CS85-48GT4XS-HPD;;3;Equipamento de Rede de Dados;N;S;China;CHN;CHN
2025-03-05;61912314103.0;Comercial Rubys - Importacao e Exportacao - Eireli;12117104000160;MODERNA-1167/23;31/03/2023;31/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan At Electronics Technology Co.,LTD.;FN-B37;FN-BT37;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;61912314103.0;Comercial Rubys - Importacao e Exportacao - Eireli;12117104000160;MODERNA-1167/23;31/03/2023;31/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan At Electronics Technology Co.,LTD.;FN-BT37;FN-BT37;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;61912314103.0;Comercial Rubys - Importacao e Exportacao - Eireli;12117104000160;MODERNA-1167/23;31/03/2023;31/03/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan At Electronics Technology Co.,LTD.;FN-BA37;FN-BT37;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;139322312441.0;3WLINK PROVEDOR DE INTERNET EIRELI;11110278000138;PCN20220113700;27/07/2023;27/07/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Yantai Yatai Photoelectronicity Equipment Co., LTD;EchoLife EG8010H;;1;ONT - Terminação de Rede Ótica;N;S;China;CHN;CHN
2025-03-05;39612413633.0;GRUPO MULTI S.A;59717553000617;NCC 25929/24;20/03/2024;20/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hisense Visual Technology Co., Ltd.;ERF3D98T;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;46462416632.0;Uni-art Import Ltda.;68168368000105;10441/2024-OCD;17/12/2024;17/12/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;DongGuan Cheerful Toys Manufacture CO., LTD;HH670Y;-;2;Equipamento de Radiocomunicação de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;71132400330.0;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA;1472720000112;ELD00695/24;06/08/2024;06/08/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Mobility LLC;QA50;;1;Bateria de Lítio utilizada em Telefone Celular;N;S;Estados Unidos da América;USA;USA
2025-03-05;39612413633.0;GRUPO MULTI S.A;59717553000617;NCC 25929/24;20/03/2024;20/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Hisense Visual Technology Co., Ltd.;ERF3K98T;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;89142412261.0;GRUPO MULTI S.A;59717553000617;TÜV 24.0765;06/02/2025;06/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;SZ DJI Osmo Technology Co., Ltd.;DMMR01;DJI Mic Mini;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;108442409185.0;DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA;6940544000110;CPQD 12356;14/01/2025;14/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Xiaomi Communications Co., Ltd.;24117RN76L;Redmi Note 14;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;107792400160.0;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;82901000000127;OCP 90124;21/01/2025;20/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Intelbras S.a. Industria de Telecomunicacao Eletronica Brasileira;EC 20 POWER 45W GAN;;1;Carregador para Telefone Celular;N;S;Brasil;BRA;BRA
2025-03-05;78042400330.0;MOTOROLA MOBILITY COMERCIO DE PRODUTOS ELETRONICOS LTDA;1472720000112;ELD00743/24;14/10/2024;14/10/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Motorola Mobility LLC;RW50;;1;Bateria de Lítio utilizada em Telefone Celular;N;S;Estados Unidos da América;USA;USA
2025-03-05;108442409185.0;DL COMERCIO E INDUSTRIA DE PRODUTOS ELETRONICOS LTDA;6940544000110;CPQD 12356;14/01/2025;14/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Xiaomi Communications Co., Ltd.;24117RN76L;Redmi Note 14;1;Telefone Móvel Celular;N;S;China;CHN;CHN
2025-03-05;51522403257.0;CERT SOLUTIONS BRASIL LTDA;34991838000106;NCC 25937/24;27/03/2024;27/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Huawei Technologies Co. Ltd;EchoLife EG8021V5;;1;ONT - Terminação de Rede Ótica;N;S;China;CHN;CHN
2025-03-05;51522403257.0;CERT SOLUTIONS BRASIL LTDA;34991838000106;NCC 25937/24;27/03/2024;27/03/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Huawei Technologies Co. Ltd;EchoLife EG8021V5;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;113072408587.0;ITC - INTELIGENT TELECOM CERTIFICATION LTDA;23786165000136;QC-12906-24;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Furukawa Automotive Systems Inc.;24GMMR20;;2;Emissor-Sensor de Variação de Campo Eletromagnético;N;S;Japão;J;JPN
2025-03-05;111272402149.0;ITC - INTELIGENT TELECOM CERTIFICATION LTDA;23786165000136;QC-1609-24.01;23/01/2025;23/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Continental Automotive Technologies GmbH;CG01;;2;Dispositivo de Operação Periódica;N;S;Alemanha;D;DEU
2025-03-05;95912406146.0;SAMSUNG ELETRONICA DA AMAZONIA LTDA;280273000218;CPQD 12260;30/10/2024;30/10/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;SAMSUNG SDI Co., Ltd.;EB-BS936ABY;;1;Bateria de Lítio utilizada em Telefone Celular;N;S;Coréia;KOR;KOR
2025-03-05;4162517528.0;DATEN TECNOLOGIA LTDA;4602789000101;NCC 27029/25;10/01/2025;10/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Guangdong ZhongNeng Electronic Technology Co., LTD;Headset Daten DHS01;;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;4062514205.0;Phygitall Solucoes em Internet das Coisas Ltda;21633141000111;NCC 27157/25;10/02/2025;10/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Phygitall Solucoes em Internet das Coisas Ltda;831-Voice Assistant;PHYLL VOICE ASSISTANT;2;Sistemas de Identificação por Radiofrequências;N;S;Brasil;BRA;BRA
2025-03-05;4062514205.0;Phygitall Solucoes em Internet das Coisas Ltda;21633141000111;NCC 27157/25;10/02/2025;10/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Phygitall Solucoes em Internet das Coisas Ltda;831-Voice Assistant;PHYLL VOICE ASSISTANT;2;Transceptor de Radiação Restrita;N;S;Brasil;BRA;BRA
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2040;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2050;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;PB2060;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;DC-PB940;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5332512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27106/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;PB2040;DC-PB942;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5692517264.0;Haiz Comércio de Variedades Importação e Exportação Ltda.;40298389000118;MODERNA-5480/25;28/02/2025;28/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Dijiean Technology Co., Ltd.;HZ-1024F;;3;Equipamento de Rede de Dados;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;HS-500;HS-500 C;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;HS-500;HS-500 i;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;HS-500;HS-500 V;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;CRG-100;CRG-100 C;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;CRG-100;CRG-100 i;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;196982214050.0;Sperk Comercio de Acessorios Para Celular Eireli;20617253000116;MODERNA-5134/24;30/11/2022;30/11/2026 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Dongguan Jing Shun Yuan Electronic Technology Co. Ltd;CRG-100;CRG-100 V;1;Carregador para Telefone Celular;N;S;China;CHN;CHN
2025-03-05;5502516934.0;MOBIMAX IMPORTACAO E EXPORTACAO EIRELI;4985901000130;BRA20916;14/02/2025;13/02/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Anker Innovations Limited;A1667;;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;HongKong;HKG;HKG
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB930;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB932;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB934;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB936;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5342512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27107/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB930;DC-PB938;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB900;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB902;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB904;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5382517348.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;CPQD 12292;22/01/2025;22/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Wuhu Hongjing Electronic Co., Ltd.;703003226AA;NO DISC DVD;2;Transceptor de Radiação Restrita;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB906;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;5352512660.0;DC Importação e Exportação de Eletrônicos Ltda;12053056000193;NCC 27108/25;27/01/2025;27/01/2027 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Shenzhen Bestunion Electronic Technology Co.,Ltd;DC-PB900;DC-PB908;1;Acessório p/ Telefone Móvel Celular do tipo Bateria Auxiliar;N;S;China;CHN;CHN
2025-03-05;7232517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27232/25;19/02/2025;19/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLPX1-80;VHLPX1-80-XXXX;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7262517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27230/25;18/02/2025;18/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;SHPX2-13;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;5822515460.0;E3TECH ENGENHARIA E REPRESENTACOES LTDA;25081009000103;CPQD 12139;22/01/2025;22/05/2025 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Inventus Power, Inc.;CT4X-BTEC;;1;Bateria de Lítio utilizada em Telefone Celular;N;S;Estados Unidos da América;USA;USA
2025-03-05;6992517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27241/25;20/02/2025;20/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLP1-15;VHLP1-15-XXXX;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7072517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27244/25;20/02/2025;20/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;SHP3-11W;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7142517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27207/25;18/02/2025;18/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;SHP1-38;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
2025-03-05;7172517519.0;Skylane Optics do Brasil Serviços de Pesquisa Ltda;15384965000100;NCC 27212/25;18/02/2025;18/02/2028 00:00:00;2;Preenchimento Concluído;6;Homologação Emitida;Outdoor Wireless Networks LLC;VHLPX2-11W;;3;Antena Ponto a Ponto;S;S;Estados Unidos da América;USA;USA
